name,bigChancesCreated,assists,accuratePasses,accuratePasses%,keyPasses,team,age,ageCategory
Joan Jordán,0,0,125,85.03,2,Sevilla,29,ideal
Ismaila Ciss,0,0,321,80.86,7,Rayo Vallecano,29,ideal
Alberto Moleiro,0,2,151,83.43,5,Las Palmas,20,youth
Jorge Cuenca,0,0,475,89.62,0,Villarreal,24,young
Luiz Felipe,0,0,151,90.42,1,Real Betis,26,ideal
Marko Dmitrović,0,0,147,70.67,0,Sevilla,31,veteran
Boubakary Soumaré,0,0,380,89.62,2,Sevilla,24,young
Stefan Savić,0,0,333,82.43,0,Atlético Madrid,32,veteran
Marc Pubill,0,0,111,79.29,4,Almería,20,youth
Ferland Mendy,0,0,407,95.32,4,Real Madrid,28,ideal
Rubén Alcaraz,0,0,435,81.46,7,Cádiz,32,veteran
Yarek Gasiorowski,0,0,67,77.91,0,Valencia,18,youth
Eric García,0,0,686,90.98,2,Girona FC,22,young
David García,0,0,643,84.61,0,Osasuna,29,ideal
Srđan Babić,0,0,58,93.55,0,Almería,27,ideal
Paul Akouokou,0,0,16,94.12,0,Real Betis,25,young
Ivan Balliu,0,0,375,78.13,12,Rayo Vallecano,31,veteran
Thierry Correia,0,2,502,76.99,5,Valencia,24,young
Ørjan Nyland,0,0,106,61.99,0,Sevilla,33,veteran
Randy Nteka,0,0,62,68.13,5,Rayo Vallecano,26,ideal
Mouctar Diakhaby,0,0,338,86.45,1,Valencia,26,ideal
Étienne Capoue,0,1,448,88.02,7,Villarreal,35,veteran
Iñaki Peña,0,0,72,83.72,0,Barcelona,24,young
André Ferreira,0,0,262,65.99,0,Granada,27,ideal
Ander Guevara,0,0,528,75.11,13,Deportivo Alavés,26,ideal
Nacho Fernández,0,0,279,93.62,2,Real Madrid,33,veteran
Abdul Mumin,0,0,241,81.14,0,Rayo Vallecano,25,young
Sergio Herrera,0,0,278,59.02,0,Osasuna,30,veteran
Antonio Blanco,0,0,305,78.21,8,Deportivo Alavés,23,young
Kike Salas,0,0,146,79.78,1,Sevilla,21,young
Robin Le Normand,0,0,643,88.69,2,Real Sociedad,27,ideal
Luis Hernández,0,0,174,78.03,5,Cádiz,34,veteran
Chadi Riad,0,0,404,89.78,1,Real Betis,20,youth
Sergi Roberto,0,0,107,93.86,0,Barcelona,31,veteran
Marcos Acuña,0,0,207,84.15,6,Sevilla,32,veteran
Matteo Gabbia,0,0,267,89.6,1,Villarreal,24,young
Kevin Vázquez,0,0,144,72.0,3,Celta Vigo,30,veteran
Lucas Boyé,0,2,172,75.11,13,Granada,27,ideal
Damián Suárez,0,1,257,68.9,13,Getafe,35,veteran
Lucas Torró,0,0,344,76.96,1,Osasuna,29,ideal
Mamadou Mbaye,0,0,47,56.63,0,Cádiz,25,young
Máximo Perrone,0,0,382,90.31,5,Las Palmas,20,youth
Milutin Osmajić,0,0,2,66.67,1,Cádiz,24,young
Imanol García de Albéniz,0,0,112,86.15,1,Athletic Club,23,young
Éder Militão,0,0,31,96.88,0,Real Madrid,25,young
Unai García,0,0,33,84.62,1,Osasuna,31,veteran
Diego Mariño,0,0,17,80.95,0,Almería,33,veteran
Eric Curbelo,0,0,51,96.23,0,Las Palmas,29,ideal
Diego Mendez,0,0,2,100.0,0,Rayo Vallecano,20,youth
Ricardo Visus,0,0,15,83.33,0,Real Betis,22,young
Luís Maximiano,0,0,222,60.33,0,Almería,24,young
Youssef En-Nesyri,0,0,75,68.18,4,Sevilla,26,ideal
Gabriel Paulista,0,0,533,85.97,1,Valencia,33,veteran
Matija Nastasić,0,0,282,80.8,1,Mallorca,30,veteran
Assane Diao,0,0,119,78.81,3,Real Betis,18,youth
Fali,0,0,302,74.02,3,Cádiz,30,veteran
William Carvalho,0,1,175,86.63,3,Real Betis,31,veteran
Rodri Sánchez,0,0,210,83.33,6,Real Betis,23,young
Marc Cardona,0,0,72,73.47,1,Las Palmas,28,ideal
Yeray Álvarez,0,0,66,79.52,2,Athletic Club,28,ideal
Javi Galán,0,0,35,77.78,2,Atlético Madrid,29,ideal
Iker Munoz,0,0,218,73.15,1,Osasuna,21,young
Óscar Rodríguez,0,0,143,78.57,8,Getafe,25,young
Memphis Depay,0,0,52,71.23,2,Atlético Madrid,29,ideal
Adnan Januzaj,0,0,41,82.0,1,Sevilla,28,ideal
Enzo Loiodice,0,0,466,82.48,6,Las Palmas,23,young
Rafa Marín,0,0,289,81.64,3,Deportivo Alavés,21,young
Javier Muñoz,0,1,449,84.24,13,Las Palmas,28,ideal
Iza Carcelén,0,0,264,72.93,6,Cádiz,30,veteran
Aridane Hernández,0,0,249,83.56,1,Rayo Vallecano,34,veteran
Pejiño,0,0,84,81.55,5,Las Palmas,27,ideal
Aleksandar Sedlar,0,0,342,84.86,2,Deportivo Alavés,32,veteran
Cristhian Mosquera,0,0,543,88.44,1,Valencia,19,youth
Cristian Herrera,0,0,59,92.19,1,Las Palmas,32,veteran
Mario Dominguez,0,0,4,100.0,0,Valencia,19,youth
Dani Ceballos,0,0,122,93.13,1,Real Madrid,27,ideal
Andrés Guardado,0,0,185,88.52,4,Real Betis,37,veteran
Edgar González,0,0,494,87.9,3,Almería,26,ideal
Rominigue Kouamé,0,0,126,86.9,2,Cádiz,27,ideal
Abdelkabir Abqar,0,0,267,72.75,1,Deportivo Alavés,24,young
Omenuke Mfulu,0,0,45,90.0,0,Las Palmas,29,ideal
Juanpe,0,0,71,86.59,0,Girona FC,32,veteran
Williot Swedberg,0,0,14,66.67,0,Celta Vigo,19,youth
Aitor Paredes,0,0,666,86.16,3,Athletic Club,23,young
Joseph Aidoo,0,0,142,78.45,1,Celta Vigo,28,ideal
Miguel Rubio,0,0,229,78.16,0,Granada,25,young
Rafa Mir,0,0,30,63.83,5,Sevilla,26,ideal
Cyle Larin,0,0,75,71.43,5,Mallorca,28,ideal
Abdessamad Ezzalzouli,0,0,126,77.78,4,Real Betis,22,young
Nacho Vidal,0,0,21,63.64,1,Osasuna,28,ideal
Benito Ramírez,0,0,36,80.0,1,Las Palmas,28,ideal
Fede San Emeterio,0,0,37,82.22,1,Cádiz,26,ideal
Pablo Torre,0,0,97,81.51,6,Girona FC,20,youth
Manu Trigueros,0,0,49,84.48,0,Villarreal,32,veteran
Manu Morlanes,0,0,147,86.47,4,Mallorca,24,young
Jordi Martín,0,0,27,67.5,1,Getafe,22,young
Siebe Van Der Heyden,0,0,54,66.67,0,Mallorca,25,young
Rachad Dhimi,0,0,4,80.0,1,Almería,18,youth
Álvaro Negredo,0,0,7,53.85,1,Cádiz,38,veteran
Carlos Domínguez,0,0,104,75.36,1,Celta Vigo,22,young
Francis Coquelin,0,0,4,80.0,0,Villarreal,32,veteran
Jorge Pascual,0,0,4,80.0,0,Villarreal,20,youth
Jesús Corona,0,0,9,75.0,0,Sevilla,30,veteran
Bernardo Espinosa,0,0,7,87.5,0,Girona FC,34,veteran
Peru Nolaskoain Esnal,0,0,5,62.5,0,Athletic Club,25,young
Alfonso Espino,0,0,423,73.31,13,Rayo Vallecano,31,veteran
José María Giménez,0,0,195,82.63,2,Atlético Madrid,28,ideal
Omar Alderete,0,1,144,64.57,4,Getafe,26,ideal
Bebé,0,0,24,66.67,2,Rayo Vallecano,33,veteran
Mihailo Ristić,0,0,159,73.95,5,Celta Vigo,28,ideal
Jaime Mata,0,0,149,72.33,4,Getafe,35,veteran
Óscar Trejo,0,0,267,83.18,13,Rayo Vallecano,35,veteran
Djené,0,0,311,77.94,3,Getafe,31,veteran
Álvaro Lemos,0,0,96,82.76,0,Las Palmas,30,veteran
Carlos Benavídez,0,0,96,62.34,1,Deportivo Alavés,25,young
Jon Pacheco,0,0,207,87.71,0,Real Sociedad,22,young
Darwin Machís,0,0,131,74.43,8,Cádiz,30,veteran
Anastasios Douvikas,0,0,34,65.38,1,Celta Vigo,24,young
Marko Milovanović,0,0,3,50.0,0,Almería,20,youth
Malcom Ares,0,0,7,87.5,0,Athletic Club,22,young
Iván Villar,0,0,121,54.26,1,Celta Vigo,26,ideal
Valery Fernández,0,0,77,88.51,2,Girona FC,24,young
Radamel Falcao,0,0,29,80.56,1,Rayo Vallecano,37,veteran
Beñat Prados,0,0,143,82.18,2,Athletic Club,22,young
Omar Mascarell,0,0,238,82.64,2,Mallorca,30,veteran
Javi Llabrés,0,0,21,67.74,2,Mallorca,21,young
Brian Ocampo,0,0,17,85.0,1,Cádiz,24,young
Thomas Lemar,0,0,69,89.61,1,Atlético Madrid,28,ideal
Njegoš Petrović,0,0,57,85.07,2,Granada,24,young
Giovanni González,0,0,259,72.96,6,Mallorca,29,ideal
Josep Chavarría,0,0,72,82.76,2,Rayo Vallecano,25,young
Kike Pérez,0,0,137,75.69,4,Rayo Vallecano,26,ideal
Dani García,0,0,142,82.56,0,Athletic Club,33,veteran
Jorge Meré,0,0,68,75.56,0,Cádiz,26,ideal
Nahuel Tenaglia,0,0,27,72.97,2,Deportivo Alavés,27,ideal
José Ángel Carmona,0,1,88,69.84,4,Getafe,21,young
Fran Beltrán,0,0,404,85.41,3,Celta Vigo,24,young
Jaume Costa,0,0,219,75.78,4,Mallorca,35,veteran
