name,bigChancesCreated,assists,accuratePasses,accuratePasses%,keyPasses,team,age,ageCategory
Sergio Akieme,3,0,339,81.29,12,Almería,26,ideal
Iván Alejo,3,2,101,62.73,5,Cádiz,28,ideal
Jude Bellingham,2,2,668,89.91,26,Real Madrid,20,youth
Rodrygo,2,4,399,89.66,25,Real Madrid,22,young
Frenkie de Jong,2,0,884,93.94,11,Barcelona,26,ideal
Daniel Carvajal,2,2,530,87.31,14,Real Madrid,31,veteran
Jonathan Viera,2,1,450,91.09,17,Las Palmas,34,veteran
Gorka Guruzeta,2,1,213,67.41,15,Athletic Club,27,ideal
Paulo Gazzaniga,2,0,363,70.62,2,Girona FC,31,veteran
Pablo Barrios,2,1,289,84.5,7,Atlético Madrid,20,youth
Sergi Cardona,2,0,650,81.86,17,Las Palmas,24,young
Koke,2,2,816,91.38,12,Atlético Madrid,31,veteran
Gavi,2,1,481,91.44,11,Barcelona,19,youth
David Alaba,2,1,788,91.63,10,Real Madrid,31,veteran
Borja Mayoral,2,1,256,75.74,13,Getafe,26,ideal
Sandro Ramírez,2,0,117,81.82,8,Las Palmas,28,ideal
Robert Lewandowski,2,3,185,74.3,12,Barcelona,35,veteran
Yangel Herrera,2,0,454,87.14,10,Girona FC,25,young
Ángel Correa,2,1,149,79.26,13,Atlético Madrid,28,ideal
Sergio Arribas,2,0,247,82.33,17,Almería,22,young
Juan Miranda,2,1,283,84.73,8,Real Betis,23,young
Daley Blind,2,2,990,90.08,9,Girona FC,33,veteran
José Luis Gayà,2,0,323,78.97,16,Valencia,28,ideal
Antonio Rüdiger,2,0,742,88.97,4,Real Madrid,30,veteran
Julian Araujo,2,0,305,83.56,9,Las Palmas,22,young
Óscar Mingueza,2,1,480,77.8,25,Celta Vigo,24,young
Marc Roca,2,1,574,83.92,13,Real Betis,27,ideal
Jørgen Strand Larsen,2,0,184,69.43,9,Celta Vigo,23,young
Oriol Romeu,2,1,504,90.32,7,Barcelona,32,veteran
Erik Lamela,2,0,84,84.85,10,Sevilla,31,veteran
Bryan Zaragoza,2,2,138,61.88,16,Granada,22,young
Gonzalo Villar,2,3,342,81.62,5,Granada,25,young
Juanmi Latasa,2,0,117,49.37,8,Getafe,22,young
Chimy Ávila,2,2,191,72.35,20,Osasuna,29,ideal
Rodrigo Riquelme,2,1,163,82.74,5,Atlético Madrid,23,young
Nahuel Molina,2,1,383,76.6,6,Atlético Madrid,25,young
Aihen Muñoz,2,1,376,77.69,11,Real Sociedad,26,ideal
Ferran Torres,2,1,204,78.16,18,Barcelona,23,young
Javi López,2,3,199,73.43,7,Deportivo Alavés,21,young
Álex Sola,2,0,93,67.39,11,Deportivo Alavés,24,young
Abner Vinícius,2,0,257,82.11,5,Real Betis,23,young
Jon Guridi,2,3,318,78.91,16,Deportivo Alavés,28,ideal
Alexander Sørloth,2,1,125,73.53,10,Villarreal,28,ideal
Javier Guerra,2,1,353,74.63,9,Valencia,20,youth
Aimar Oroz,2,1,476,82.35,17,Osasuna,22,young
Unai López,2,2,442,85.33,12,Rayo Vallecano,28,ideal
Asier Villalibre,2,1,39,68.42,6,Athletic Club,26,ideal
Borja Iglesias,2,1,60,83.33,9,Real Betis,30,veteran
Ander Barrenetxea,2,1,203,73.29,8,Real Sociedad,21,young
Aitor Ruibal,2,1,134,79.29,8,Real Betis,27,ideal
Raúl de Tomás,2,2,116,80.56,6,Rayo Vallecano,29,ideal
Jesús Areso,2,1,312,80.41,11,Osasuna,24,young
Andoni Gorosabel,2,0,387,81.82,7,Deportivo Alavés,27,ideal
Abderrahman Rebbach,2,0,62,69.66,11,Deportivo Alavés,25,young
Jon Moncayola,2,1,285,79.17,9,Osasuna,25,young
Ignasi Miquel,2,1,670,83.13,5,Granada,31,veteran
Luca De La Torre,2,2,356,85.37,12,Celta Vigo,25,young
Umar Sadiq,2,1,61,76.25,2,Real Sociedad,26,ideal
Beñat Turrientes,2,0,121,81.21,4,Real Sociedad,21,young
Portu,2,1,57,79.17,4,Girona FC,31,veteran
Gonzalo Melero,2,1,244,85.31,7,Almería,29,ideal
Luis Javier Suárez,1,0,111,79.29,5,Almería,26,ideal
Kirian Rodríguez,1,1,1146,89.6,14,Las Palmas,27,ideal
Pepelu,1,0,745,82.5,27,Valencia,25,young
Ronald Araújo,1,0,552,89.03,4,Barcelona,24,young
Yuri Berchiche,1,1,268,77.46,5,Athletic Club,33,veteran
Luis Milla,1,0,185,78.06,8,Getafe,29,ideal
Álvaro Morata,1,1,154,75.12,5,Atlético Madrid,31,veteran
Axel Witsel,1,0,859,93.07,2,Atlético Madrid,34,veteran
Aritz Elustondo,1,1,189,89.15,2,Real Sociedad,29,ideal
Nemanja Maksimović,1,0,387,80.46,4,Getafe,28,ideal
Jonathan Bamba,1,1,368,79.31,25,Celta Vigo,27,ideal
Martín Zubimendi,1,1,645,86.11,9,Real Sociedad,24,young
Willian José,1,1,146,76.04,11,Real Betis,32,veteran
Juan Foyth,1,1,477,82.81,5,Villarreal,25,young
Marcos Alonso,1,0,110,90.91,4,Barcelona,32,veteran
Moi Gómez,1,0,467,83.54,5,Osasuna,29,ideal
Gastón Álvarez,1,0,301,70.82,3,Getafe,23,young
Guido Rodríguez,1,0,485,87.39,3,Real Betis,29,ideal
Hamari Traore,1,2,576,84.21,20,Real Sociedad,31,veteran
Isi Palazón,1,1,358,73.66,17,Rayo Vallecano,28,ideal
Djibril Sow,1,1,362,87.86,11,Sevilla,26,ideal
Mikel Oyarzabal,1,1,164,80.0,10,Real Sociedad,26,ideal
Youssouf Sabaly,1,1,109,86.51,2,Real Betis,30,veteran
Andreas Christensen,1,1,859,95.98,3,Barcelona,27,ideal
Kieran Tierney,1,1,209,83.27,2,Real Sociedad,26,ideal
Daniel Vivian,1,0,680,84.05,4,Athletic Club,24,young
Juan Iglesias,1,1,129,59.72,7,Getafe,25,young
Ander Herrera,1,1,270,86.54,5,Athletic Club,34,veteran
Chris Ramos,1,1,126,59.15,6,Cádiz,26,ideal
Dion Lopy,1,0,394,85.28,4,Almería,21,young
Fermín López,1,0,148,82.68,4,Barcelona,20,youth
Kike García,1,0,91,67.41,9,Deportivo Alavés,34,veteran
Alejandro Balde,1,1,500,88.18,9,Barcelona,20,youth
Léo Baptistão,1,0,97,55.75,5,Almería,31,veteran
Jesús Navas,1,0,319,77.43,12,Sevilla,38,veteran
Alejandro Catena,1,1,522,81.82,2,Osasuna,29,ideal
André Almeida,1,1,141,80.11,7,Valencia,23,young
Fernando,1,0,207,87.34,2,Sevilla,36,veteran
Óscar Valentín,1,0,468,80.83,7,Rayo Vallecano,29,ideal
Lucas Vázquez,1,1,196,89.91,7,Real Madrid,32,veteran
Nemanja Gudelj,1,0,638,85.98,5,Sevilla,32,veteran
